Topic,Date Published,Article Name,Author,Link,Processed?,Main Idea,Notes 1,Notes 2,Notes 3
Fee Market,06/11/2020,Can ETH become deflationary? EIP 1559 Explained,Finematics,https://finematics.com/ethereum-eip-1559-explained/,No,,,,
Fee Market,,All you need to know about EIP-1559 and more (Date unknown),Uncommon Core,https://uncommoncore.co/eip-1559/,No,,,,
Fee Market,01/08/2021,Why 1559?,Tim Beiko,https://hackmd.io/@timbeiko/why-1559,No,,,,
Fee Market,04/03/2019,Fixing the Ethereum Fee Market (EIP-1559),Eric Conner,https://medium.com/@eric.conner/fixing-the-ethereum-fee-market-eip-1559-9109f1c1814b,No,,,,
Fee Market,18/03/2018,EIP 1559 and Fee Structure (Date unknown),Vitalik Buterin,https://vitalik.ca/files/misc_files/EIP_1559_Fee_Structure.pdf,No,,,,
Fee Market,17/02/2021,Congestion Control and EIP-1559,Barnabe Monnot,https://barnabe.substack.com/p/congestion-control-and-eip1559,No,,,,
Fee Market,07/11/2020,A Tale Of Two Pricing Schemes,Micah Zoltu,https://medium.com/coinmonks/a-tale-of-two-pricing-schemes-dc9c8717906,No,,,,
Fee Market,01/12/2020,Transaction Fee Mechanism Design for the Ethereum Blockchain,Tim Roughgarden,http://timroughgarden.org/papers/eip1559.pdf,No,,,,
Fee Market,30/06/2020,A World without (block) limits,Micah Zoltu,https://medium.com/coinmonks/a-world-without-block-limits-f3ecc926cd68,No,,,,
Fee Market,24/06/2020,Analysis of EIP-2593 (Escalator),"Hasu, Georgios Konstantopoulos",https://insights.deribit.com/market-research/analysis-of-eip-2593-escalator/,No,,,,
Fee Market,22/08/2020,EIP-1559 51% Attacks - Should you live in fear?,Micah Zoltu,https://medium.com/coinmonks/eip-1559-51-attacks-should-you-live-in-fear-d817be3759dc,No,,,,
Fee Market,01/02/2021,Why I think EIP 1559 block variance is nothing to worry about,Vitalik Buterin,https://notes.ethereum.org/@vbuterin/eip_1559_spikes,No,,,,
Fee Market,01/01/2021,EIP-1559 Transaction Sorting: Overview,Ansgar Dietrich,https://hackmd.io/@adietrichs/1559-transaction-sorting,No,,,,
Fee Market,01/03/2021,EIP-1559 Transaction Sorting Part 2,Ansgar Dietrich,https://hackmd.io/@adietrichs/1559-transaction-sorting-part2,No,,,,
Fee Market,20/05/2021,EIP-1559 Transaction Pool Design Improvement Proposal,Zsolt Felfoldi,https://gist.github.com/zsfelfoldi/9607ad248707a925b701f49787904fd6,No,,,,
Fee Market,15/04/2019,Blockchain Resource Pricing,Vitalik Buterin,https://github.com/ethereum/research/blob/master/papers/pricing/ethpricing.pdf,No,,,,
Fee Market,01/07/2018,First and second-price auctions and improved transaction-fee markets,Vitalik Buterin,https://ethresear.ch/t/first-and-second-price-auctions-and-improved-transaction-fee-markets/2410,No,,,,
Fee Market,07/10/2020,EIP-1559 Community Outreach Report,Tim Beiko,https://medium.com/ethereum-cat-herders/eip-1559-community-outreach-report-aa18be0666b5,No,,,,
Fee Market,16/03/2021,EIP-1559 Outreach Summary,Tim Beiko,https://github.com/ethereum-cat-herders/1559-outreach/blob/main/README.md,No,,,,
Fee Market,20/01/2021,EIP-1559 Miner FAQ,Micah Zoltu,https://hackmd.io/S6kW1MjvT8-SjmaoZTyaJw,No,,,,
Fee Market,31/01/2021,What does a Miner revolt look like?,Micah Zoltu,https://medium.com/coinmonks/what-does-a-miner-revolt-look-like-a99216fe270e,No,,,,
Fee Market,22/02/2021,Why Miners will accept EIP-1559,"Hasu, Georgios Konstantopoulos",https://insights.deribit.com/market-research/miners-will-accept-eip-1559-here-is-why/,No,,,,
Fee Market,01/09/2021,Gas: Analysis of I-Smoothing,Sam Bacha,https://hackmd.io/@8Lo6sisiSrSosbAxVPXKgQ/SyQoEUbzu,No,,,,
Fee Market,26/02/2021,Establishing Bounds for Miner Revenue in EIP-1559,"Hasu, Georgios Konstantopoulos",https://insights.deribit.com/market-research/establishing-bounds-for-miner-revenue-in-eip-1559/,No,,,,
Fee Market,13/06/2021,EIP-1559 - Agent-based Simulations,Barnabe Monnot,https://github.com/ethereum/abm1559/blob/master/notebooks/stationary1559.ipynb,No,,,,
Fee Market,13/06/2021,EIP-1559: Strategic User,Barnabe Monnot,https://github.com/ethereum/abm1559/blob/master/notebooks/strategicUser.ipynb,No,,,,
Fee Market,13/06/2021,EIP-1559: Floating Escalator,Barnabe Monnot,https://github.com/ethereum/abm1559/blob/master/notebooks/floatingEscalator.ipynb,No,,,,
